DESCRIPCION	codigo producto cleinte	descripcion rpdocuto cliente	HTS
ROSES - GYP LEONID	ROSES	ROSES	06.03.11.00.60
ROSES - H.PRINCES/	ROSES	ROSES	06.03.11.00.60
ROSES - HALLOWEEN	ROSES	ROSES	06.03.11.00.60
ROSES - HARMONY	ROSES	ROSES	06.03.11.00.60
ROSES - HENRY MATI	ROSES	ROSES	06.03.11.00.60
ROSES - HIGH & YEL	ROSES	ROSES	06.03.11.00.60
ROSES - HIGH MAGIC	ROSES	ROSES	06.03.11.00.60
ROSES - HIGH SOCIE	ROSES	ROSES	06.03.11.00.60
ROSES - HOCUS POCU	ROSES	ROSES	06.03.11.00.60
ROSES - HOLLYWOOD	ROSES	ROSES	06.03.11.00.60
ROSES - HOT LADY	ROSES	ROSES	06.03.11.00.60
ROSES - HOT PINK	ROSES	ROSES	06.03.11.00.60
ROSES - HOT PRINCE	ROSES	ROSES	06.03.11.00.60
ROSES - ICEBERG	ROSES	ROSES	06.03.11.00.60
ROSES - IGUANA	ROSES	ROSES	06.03.11.00.60
ROSES - IMPULSE	ROSES	ROSES	06.03.11.00.60
ROSES - INOCENCIA	ROSES	ROSES	06.03.11.00.60
ROSES - IVORY	ROSES	ROSES	06.03.11.00.60
ROSES - JACARANDA	ROSES	ROSES	06.03.11.00.60
ROSES - JADE	ROSES	ROSES	06.03.11.00.60
ROSES - JADE/LISPT	ROSES	ROSES	06.03.11.00.60
ROSES - JADE/MADAM	ROSES	ROSES	06.03.11.00.60
ROSES - JADE/MIRAC	ROSES	ROSES	06.03.11.00.60
ROSES - JADE/OSIAN	ROSES	ROSES	06.03.11.00.60
ROSES - JADE/VENDE	ROSES	ROSES	06.03.11.00.60
ROSES - JET SET	ROSES	ROSES	06.03.11.00.60
ROSES - JUDY	ROSES	ROSES	06.03.11.00.60
ROSES - JUDY/ACAPU	ROSES	ROSES	06.03.11.00.60
ROSES - JUDY/ELIZA	ROSES	ROSES	06.03.11.00.60
ROSES - JUDY/VIRGI	ROSES	ROSES	06.03.11.00.60
ROSES - JULIA	ROSES	ROSES	06.03.11.00.60
ROSES - JUPITER	ROSES	ROSES	06.03.11.00.60
ROSES - KAREN	ROSES	ROSES	06.03.11.00.60
ROSES - KARLINA	ROSES	ROSES	06.03.11.00.60
ROSES - KATHARINE	ROSES	ROSES	06.03.11.00.60
ROSES - KERYO	ROSES	ROSES	06.03.11.00.60
ROSES - KIKO	ROSES	ROSES	06.03.11.00.60
ROSES - KING KONG	ROSES	ROSES	06.03.11.00.60
ROSES - KONFETTI	ROSES	ROSES	06.03.11.00.60
ROSES - KONFETTI/V	ROSES	ROSES	06.03.11.00.60
ROSES - KONFETTY R	ROSES	ROSES	06.03.11.00.60
ROSES - KONFETTY/Y	ROSES	ROSES	06.03.11.00.60
ROSES - L. BEAUTY	ROSES	ROSES	06.03.11.00.60
ROSES - L. LADY	ROSES	ROSES	06.03.11.00.60
